                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63519,                 2.8119,                 1.0156,                0.00324,                      1,                0.34955,                0.26204,                0.31508,                 2.9665,                0.81399,                      0,                      0,                      0
                      2,                0.69678,                 2.9694,                 1.0821,                0.00325,                      1,                0.37312,                0.27448,                0.31291,                 2.9613,                0.82233,             1.5845e-05,             1.5845e-05,             1.5845e-05
                      3,                0.59546,                 2.8318,                 1.0362,                0.00325,                      1,                0.44504,                 0.3132,                0.30317,                 2.9596,                0.82345,             3.0039e-05,             3.0039e-05,             3.0039e-05
                      4,                0.53451,                 2.7692,                0.93849,                0.00325,                      1,                0.44504,                0.30494,                0.28637,                 2.9612,                0.80763,             4.2584e-05,             4.2584e-05,             4.2584e-05
                      5,                0.46101,                 2.7478,                 1.0287,                0.00325,                      1,                 0.4975,                0.31535,                0.26261,                 2.9507,                0.79766,             5.3477e-05,             5.3477e-05,             5.3477e-05
                      6,                0.49352,                 2.7287,                 1.0043,                0.00321,                      1,                 0.4975,                0.33433,                0.24705,                 2.9433,                0.79303,             6.2721e-05,             6.2721e-05,             6.2721e-05
                      7,                0.55387,                 2.6967,                0.98964,                0.00319,                      1,                 0.4975,                0.33177,                0.22594,                 2.9332,                0.79397,             7.0314e-05,             7.0314e-05,             7.0314e-05
                      8,                0.50586,                 2.7166,                0.99498,                0.00317,                      1,                 0.4865,                0.37833,                0.22207,                 2.9353,                0.77836,             7.6257e-05,             7.6257e-05,             7.6257e-05
                      9,                0.57946,                 2.5211,                0.99718,                0.00316,                      1,                0.46433,                0.39489,                0.22162,                 2.9306,                0.78416,             8.0549e-05,             8.0549e-05,             8.0549e-05
                     10,                0.42702,                 2.3742,                0.94897,                0.00315,                      1,                0.54725,                0.48276,                0.22041,                 2.9241,                0.76896,             8.3192e-05,             8.3192e-05,             8.3192e-05
                     11,                0.43104,                 2.4687,                 1.0242,                0.00314,                      1,                0.66375,                0.58832,                0.21643,                 2.9174,                0.76408,             8.4183e-05,             8.4183e-05,             8.4183e-05
                     12,                0.36008,                  2.415,                0.95622,                0.00313,                      1,                0.66375,                0.63629,                0.21945,                  2.912,                0.76082,             8.3525e-05,             8.3525e-05,             8.3525e-05
                     13,                0.34895,                 2.3134,                0.91178,                0.00313,                      1,                0.66375,                0.66375,                0.22294,                 2.9001,                 0.7683,             8.1216e-05,             8.1216e-05,             8.1216e-05
                     14,                0.36826,                 2.1623,                0.87718,                0.00313,                      1,                0.66375,                0.62515,                0.25217,                 2.8855,                0.76894,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     15,                0.39299,                 2.1027,                0.98583,                0.00314,                      1,                0.66375,                0.60042,                0.29592,                 2.8802,                0.78074,             7.1648e-05,             7.1648e-05,             7.1648e-05
                     16,                0.26751,                 1.9849,                0.89856,                0.00314,                      1,                0.66375,                0.58669,                0.37954,                 2.8751,                0.80676,             6.4388e-05,             6.4388e-05,             6.4388e-05
                     17,                0.27482,                  1.863,                0.82022,                0.00315,                      1,                0.66375,                0.57321,                0.44647,                 2.8611,                0.82266,             5.5478e-05,             5.5478e-05,             5.5478e-05
                     18,                0.30555,                 1.7975,                0.90475,                0.00314,                      1,                0.66375,                0.57321,                0.49545,                 2.8422,                0.83665,             4.4917e-05,             4.4917e-05,             4.4917e-05
                     19,                 0.3028,                 1.8432,                 0.9027,                0.00314,                      1,                0.62188,                0.52271,                0.52237,                 2.8203,                0.84302,             3.2707e-05,             3.2707e-05,             3.2707e-05
                     20,                0.30061,                 1.7511,                0.79011,                0.00314,                      1,                0.62188,                0.52295,                0.52536,                 2.8069,                0.83808,             1.8845e-05,             1.8845e-05,             1.8845e-05
